year,movies_name,total_gross,opening_week,opening_date,opening_date_url
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,The Empire Strikes Back,"$209,398,025 ","$4,910,483 ",21-May,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-05-21&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,9 to 5,"$103,290,500 ","$3,966,832 ",19-Dec,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-12-19&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Stir Crazy,"$101,300,000 ","$8,691,886 ",12-Dec,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-12-12&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Airplane!,"$83,453,539 ",N/A,27-Jun,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-06-27&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Any Which Way You Can,"$70,687,344 ","$8,024,663 ",17-Dec,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-12-17&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Private Benjamin,"$69,847,348 ","$4,739,769 ",10-Oct,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-10-10&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Coal Miner's Daughter,"$67,182,787 ","$3,366,443 ",7-Mar,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-03-07&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Smokey and the Bandit II,"$66,132,626 ","$10,883,835 ",15-Aug,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-08-15&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,The Blue Lagoon,"$58,853,106 ",N/A,20-Jun,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-06-20&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,The Blues Brothers,"$57,229,890 ","$4,858,152 ",20-Jun,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-06-20&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Ordinary People,"$54,766,923 ","$170,335 ",19-Sep,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-09-19&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Popeye,"$49,823,037 ","$6,310,520 ",12-Dec,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-12-12&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Urban Cowboy,"$46,918,287 ",N/A,6-Jun,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-06-06&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,The Shining,"$44,017,374 ","$622,337 ",23-May,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-05-23&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Seems Like Old Times,"$43,995,918 ",N/A,19-Dec,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-12-19&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Cheech & Chong's Next Movie,"$41,675,194 ","$5,262,963 ",18-Jul,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-07-18&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Caddyshack,"$39,846,344 ","$3,142,689 ",25-Jul,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-07-25&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Friday the 13th (1980),"$39,754,601 ","$5,816,321 ",9-May,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-05-09&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Brubaker,"$37,121,708 ","$2,748,079 ",20-Jun,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-06-20&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Little Darlings,"$34,326,249 ",N/A,21-Mar,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-03-21&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Dressed to Kill,"$31,899,000 ",N/A,23-Jun,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-06-23&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,The Jazz Singer,"$27,118,000 ",N/A,19-Dec,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-12-19&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Flash Gordon,"$27,107,960 ","$3,934,030 ",5-Dec,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-12-05&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Lady and the Tramp (Re-issue) (1980),"$26,114,207 ",N/A,7-Mar,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-03-07&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,The Elephant Man,"$26,010,864 ",N/A,3-Oct,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-10-03&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Bronco Billy,"$24,265,659 ","$3,708,710 ",11-Jun,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-06-11&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Raging Bull,"$23,334,953 ","$128,590 ",14-Nov,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-11-14&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Xanadu,"$22,762,571 ","$1,471,595 ",8-Aug,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-08-08&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,American Gigolo,"$22,743,674 ","$3,559,930 ",1-Feb,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-02-01&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,My Bodyguard,"$22,482,952 ","$178,641 ",11-Jul,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-07-11&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,The Fog,"$21,378,361 ",N/A,1-Feb,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-02-01&p=.htm
https://www.boxofficemojo.com/yearly/chart/?yr=1980&p=.htm,Fame (1980),"$21,202,829 ","$118,160 ",16-May,https://www.boxofficemojo.com/schedule/?view=bydate&release=theatrical&date=1980-05-16&p=.htm
