"year","movies_name","total_gross","opening_week","opening_date"
"1999","Varsity Blues","52,894,169 ","15,204,148 ","01-15"
"1999","At First Sight","22,365,133 ","8,444,321 ","01-15"
"1999","She's All That","63,366,989 ","16,065,430 ","01-29"
"1999","Payback","81,526,121 ","21,221,526 ","02-05"
"1999","Message in a Bottle","52,880,016 ","16,751,560 ","02-12"
"1999","My Favorite Martian","36,850,101 ","8,828,586 ","02-12"
"1999","Blast from the Past","26,511,114 ","7,771,066 ","02-12"
"1999","October Sky","32,547,800 ","5,905,250 ","02-19"
"1999","8MM","36,663,315 ","14,252,888 ","02-26"
"1999","The Other Sister","27,807,627 ","6,624,445 ","02-26"
"1999","Analyze This","106,885,658 ","18,383,507 ","03-05"
"1999","Cruel Intentions","38,328,567 ","13,020,565 ","03-05"
"1999","Baby Geniuses","27,250,736 ","5,613,587 ","03-12"
"1999","The Rage: Carrie 2","17,762,705 ","7,065,123 ","03-12"
"1999","The Corruptor","15,164,492 ","5,765,300 ","03-12"
"1999","Forces of Nature","52,888,180 ","13,510,728 ","03-19"
"1999","True Crime","16,649,768 ","5,276,109 ","03-19"
"1999","EDtv","22,431,897 ","8,311,290 ","03-26"
"1999","Doug's First Movie","19,440,089 ","4,470,489 ","03-26"
"1999","The Matrix","171,479,930 ","27,788,331 ","03-31"
"1999","10 Things I Hate About You","38,178,166 ","8,330,681 ","03-31"
"1999","The Out-of-Towners","28,544,120 ","8,224,215 ","04-02"
"1999","Never Been Kissed","55,474,756 ","11,836,707 ","04-09"
"1999","Go","16,943,454 ","4,706,795 ","04-09"
"1999","Life","63,886,029 ","20,414,775 ","04-16"
"1999","Election","14,902,041 ","119,080 ","04-23"
"1999","Entrapment","87,704,396 ","20,145,595 ","04-30"
"1999","The Mummy","155,385,488 ","43,369,635 ","05-07"
"1999","A Midsummer Night's Dream","16,071,990 ","4,285,620 ","05-14"
"1999","Star Wars: Episode I - The Phantom Menace","431,088,295 ","64,820,970 ","05-19"
"1999","Notting Hill","116,089,678 ","21,811,180 ","05-28"
"1999","Instinct","34,105,207 ","10,390,387 ","06-04"
"1999","Austin Powers: The Spy Who Shagged Me","206,040,086 ","54,917,604 ","06-11"
"1999","Tarzan","171,091,819 ","34,221,968 ","06-16"
"1999","The General's Daughter","102,705,852 ","22,332,053 ","06-18"
"1999","An Ideal Husband","18,542,974 ","192,802 ","06-18"
"1999","Big Daddy","163,479,795 ","41,536,370 ","06-25"
"1999","Wild Wild West","113,804,681 ","27,687,484 ","06-30"
"1999","South Park - Bigger, Longer and Uncut","52,037,603 ","11,335,889 ","06-30"
"1999","Summer of Sam","19,288,130 ","5,952,452 ","07-02"
"1999","American Pie","102,561,004 ","18,709,680 ","07-09"
"1999","Arlington Road","24,756,177 ","7,515,145 ","07-09"
"1999","Muppets from Space","16,625,807 ","4,826,049 ","07-14"
"1999","The Blair Witch Project","140,539,099 ","1,512,054 ","07-16"
"1999","Eyes Wide Shut","55,691,208 ","21,706,163 ","07-16"
"1999","Lake Placid","31,770,414 ","10,974,145 ","07-16"
"1999","The Wood","25,059,640 ","8,515,223 ","07-16"
"1999","Inspector Gadget","97,403,112 ","21,889,138 ","07-23"
"1999","The Haunting","91,411,151 ","33,435,140 ","07-23"
"1999","Runaway Bride","152,257,509 ","35,055,556 ","07-30"
"1999","Deep Blue Sea","73,648,142 ","19,107,643 ","07-30"
"1999","The Iron Giant","23,159,305 ","5,732,614 ","08-03"
"1999","The Sixth Sense","293,506,292 ","26,681,262 ","08-06"
"1999","The Thomas Crown Affair","69,305,181 ","14,600,719 ","08-06"
"1999","Mystery Men","29,762,011 ","10,017,865 ","08-06"
"1999","Bowfinger","66,384,775 ","18,062,550 ","08-13"
"1999","Mickey Blue Eyes","33,864,342 ","10,178,289 ","08-20"
"1999","The 13th Warrior","32,698,899 ","10,267,756 ","08-27"
"1999","Stigmata","50,046,268 ","18,309,666 ","09-10"
"1999","Stir of Echoes","21,142,914 ","5,811,664 ","09-10"
"1999","American Beauty","130,096,601 ","861,531 ","09-15"
"1999","Blue Streak","68,518,533 ","19,208,806 ","09-17"
"1999","For Love of the Game","35,188,640 ","13,041,685 ","09-17"
"1999","Double Jeopardy","116,741,558 ","23,162,542 ","09-24"
"1999","Three Kings","60,652,036 ","15,847,636 ","10-01"
"1999","Drive Me Crazy","17,845,337 ","6,846,112 ","10-01"
"1999","Random Hearts","31,502,583 ","13,012,585 ","10-08"
"1999","Superstar","30,636,478 ","8,912,743 ","10-08"
"1999","Fight Club","37,030,102 ","11,035,485 ","10-15"
"1999","The Story of Us","27,100,031 ","9,673,080 ","10-15"
"1999","The Best Man","34,102,780 ","9,031,660 ","10-22"
"1999","Bringing Out the Dead","16,797,191 ","6,193,052 ","10-22"
