"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"1980","2",807164737,32286589.48,16656125,0.355002276355832,42150062.1805971,25,8430012.43611942,18420452.949203,46152726.010797,0.292730512754174,0.0454698864256692
"1981","2",914365640,35167909.2307692,17777460,0.402594393747554,45140823.6748649,26,8852843.87606874,20606276.8723824,49729541.589156,0.292730512754174,0.0454698864256692
"1982","2",1051921271,43830052.9583333,21314880,0.372645911920633,73156376.7688867,24,14932982.8762141,19267481.9131883,68392624.0034784,0.292730512754174,0.0454698864256692
"1983","2",947846921,39493621.7083333,16910930.5,0.37449366240817,53131241.6315208,24,10845369.2831454,21654576.7073235,57332666.7093431,0.292730512754174,0.0454698864256692
"1984","2",1181137667,42183488.1071429,22560674,0.373248281765676,55623029.3767507,28,10511764.4927802,24893174.1555337,59473802.058752,0.292730512754174,0.0454698864256692
"1985","2",681004774,32428798.7619048,18432000,0.238762060226688,33645290.2724647,21,7342004.25963481,20352276.4263513,44505321.0974582,0.292730512754174,0.0454698864256692
"1986","2",874868892,41660423.4285714,18034150,0.292978639742453,43505359.4390965,21,9493647.75075815,26044762.4927372,57276084.3644056,0.292730512754174,0.0454698864256692
"1987","2",829048391,37684017.7727273,25785362.5,0.249937081409501,33353419.4139655,22,7110972.91196658,25987508.1873254,49380527.3581292,0.292730512754174,0.0454698864256692
"1988","2",1021700664,44421768,25537221,0.312613604121442,42309442.7185281,23,8822128.65753526,29910657.6802206,58932878.3197794,0.292730512754174,0.0454698864256692
"1989","2",1355276736,52126028.3076923,29470134,0.345482452145798,60880291.2547118,26,11939607.4269611,32487121.7270787,71764934.8883059,0.292730512754174,0.0454698864256692
"1990","2",877556725,39888942.0454545,23565914,0.208854429183111,34237042.7206766,22,7299362.03394589,27882559.9294868,51895324.1614223,0.292730512754174,0.0454698864256692
