"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"1980","1",290192717,14509635.85,8875000,0.127630792568784,15271784.4970203,20,3414874.82730647,8892666.60471967,20126605.0952803,0.154192942132363,0.0312756382123211
"1980","2",807164737,32286589.48,16656125,0.355002276355832,42150062.1805971,25,8430012.43611942,18420452.949203,46152726.010797,0.292730512754174,0.0454698864256692
"1980","3",417241206,18965509.3636364,13255778.5,0.183508484860201,16881329.7914982,22,3599111.60458271,13045497.5870354,24885521.1402374,0.236105422089755,0.0313623168870503
"1980","4",759090245,24486782.0967742,15198912,0.333858446215183,27275103.8258652,31,4898753.26045617,16429050.0287725,32544514.1647759,0.316971123023708,0.0273595160024682
"1981","1",182306709,10128150.5,7418491,0.080269484957863,7579931.19561352,18,1786606.91644859,7189443.63354295,13066857.3664571,0.154192942132363,0.0312756382123211
"1981","2",914365640,35167909.2307692,17777460,0.402594393747554,45140823.6748649,26,8852843.87606874,20606276.8723824,49729541.589156,0.292730512754174,0.0454698864256692
"1981","3",625156771,20166347.4516129,14923752,0.275255980985816,18983885.3131848,31,3409606.45531622,14558043.9071089,25774650.9961169,0.236105422089755,0.0313623168870503
"1981","4",549354121,22889755.0416667,16665468.5,0.241880140308767,24639620.6360325,24,5029541.5011692,14616895.4615656,31162614.6217678,0.316971123023708,0.0273595160024682
"1982","1",369147213,16779418.7727273,11146794.5,0.13077138338554,21321453.811221,22,4545749.22629539,9302326.67064346,24256510.8748111,0.154192942132363,0.0312756382123211
"1982","2",1051921271,43830052.9583333,21314880,0.372645911920633,73156376.7688867,24,14932982.8762141,19267481.9131883,68392624.0034784,0.292730512754174,0.0454698864256692
"1982","3",592795356,22799821.3846154,16187026.5,0.209999333703878,25906893.4971941,26,5080759.82610626,14442715.1569752,31156927.6122556,0.236105422089755,0.0313623168870503
"1982","4",808980145,28892148.0357143,17047339,0.286583370989949,34528483.9319484,28,6525270.11657322,18159033.8176308,39625262.2537978,0.316971123023708,0.0273595160024682
"1983","1",262160476,13108023.8,10989720,0.103579422605846,6859063.45187838,20,1533733.21403844,10585257.1601129,15630790.4398871,0.154192942132363,0.0312756382123211
"1983","2",947846921,39493621.7083333,16910930.5,0.37449366240817,53131241.6315208,24,10845369.2831454,21654576.7073235,57332666.7093431,0.292730512754174,0.0454698864256692
"1983","3",622934942,23959036.2307692,13608783.5,0.246121164402243,21061772.5675795,26,4130553.43511312,17164880.4317065,30753192.0298319,0.236105422089755,0.0313623168870503
"1983","4",698066904,23268896.8,16694971,0.275805750583741,22305094.5634072,30,4072334.47988799,16570502.6605967,29967290.9394033,0.316971123023708,0.0273595160024682
"1984","1",549133724,32301983.7647059,19928200,0.173530338307793,26821226.2033154,17,6505102.86146198,21602041.7293377,43001925.800074,0.154192942132363,0.0312756382123211
"1984","2",1181137667,42183488.1071429,22560674,0.373248281765676,55623029.3767507,28,10511764.4927802,24893174.1555337,59473802.058752,0.292730512754174,0.0454698864256692
